test,scalar,vector,avg_scalar,avg_vector
0,6157,1609,6318.3,1582.6
1,6163,1569,6318.3,1582.6
2,6661,1574,6318.3,1582.6
3,6775,1654,6318.3,1582.6
4,6183,1574,6318.3,1582.6
5,6144,1565,6318.3,1582.6
6,6159,1577,6318.3,1582.6
7,6340,1568,6318.3,1582.6
8,6301,1575,6318.3,1582.6
9,6300,1561,6318.3,1582.6
