test,scalar,vector,avg_scalar,avg_vector
0,9154,2593,2667.7,1720.7
1,2887,1567,2667.7,1720.7
2,2021,1616,2667.7,1720.7
3,1769,1458,2667.7,1720.7
4,1775,1443,2667.7,1720.7
5,1815,1460,2667.7,1720.7
6,1782,2661,2667.7,1720.7
7,1880,1408,2667.7,1720.7
8,1762,1467,2667.7,1720.7
9,1832,1534,2667.7,1720.7
