test,scalar,vector,avg_scalar,avg_vector
0,5967,3521,8258.9,3815.3
1,6132,3671,8258.9,3815.3
2,5870,3355,8258.9,3815.3
3,6369,3495,8258.9,3815.3
4,6852,4645,8258.9,3815.3
5,22595,3616,8258.9,3815.3
6,6566,3941,8258.9,3815.3
7,6691,4519,8258.9,3815.3
8,7055,3672,8258.9,3815.3
9,8492,3718,8258.9,3815.3
