test,scalar,vector,avg_scalar,avg_vector
0,10722,3012,11188.5,3229.8
1,11232,3332,11188.5,3229.8
2,10798,3390,11188.5,3229.8
3,10519,3008,11188.5,3229.8
4,11330,2978,11188.5,3229.8
5,11352,3903,11188.5,3229.8
6,12254,3221,11188.5,3229.8
7,12439,3447,11188.5,3229.8
8,11609,3048,11188.5,3229.8
9,9630,2959,11188.5,3229.8
