T,Duration
1,7077
2,3620
3,2457
4,1918
5,1590
6,1293
7,1211
8,950
9,924
10,782
11,694
12,658
13,643
14,562
15,585
16,589
17,539
18,551
19,526
20,496
21,484
22,452
23,435
24,417
25,430
26,404
27,380
28,388
29,382
30,343
31,355
32,350
33,340
34,330
35,300
36,280
37,276
38,291
39,305
40,262
41,278
42,302
43,236
44,237
45,244
46,244
47,233
48,222
49,211
50,230
51,213
52,204
53,228
54,214
55,200
56,208
